,accuracy,auroc,optim_acc,optim_acc_train
0,0.6526126126126126,0.681733569507343,0.9959639639639639,0.9893687947096239
1,0.6531171171171171,0.6837304785163584,0.9963963963963964,0.9888822819251492
2,0.6487207207207207,0.6823645534189589,0.9960360360360361,0.9891345478133953
3,0.6477117117117117,0.6795115457281983,0.9960360360360361,0.9893507757176063
4,0.6461261261261261,0.6795862565677514,0.9965405405405405,0.9889543578932195
5,0.6537657657657657,0.6791544897235446,0.9962522522522522,0.9887741679730436
6,0.6487207207207207,0.6806777260662458,0.9964684684684685,0.9887020920049733
7,0.6499459459459459,0.6810834052725945,0.9959639639639639,0.9891165288213777
8,0.6508108108108108,0.6811021012314851,0.9963243243243243,0.9888642629331316
9,0.6449009009009009,0.6749602301160489,0.9966846846846846,0.9886480350289205
