,0
0,-0.00863061628815226
1,-0.005760352663397195
2,-0.007571889349149985
3,-0.007187934636539162
4,-0.008063930026378674
5,-0.005422988034670617
6,-0.007606713181274483
7,-0.005736651057269004
8,-0.007701832326382219
9,-0.0079198096736951
