,accuracy,auroc,optim_acc,optim_acc_train
0,0.6512432432432432,0.6779707224432624,0.9974774774774775,0.9903778582626088
1,0.6517477477477478,0.6785596142148795,0.9971171171171171,0.990413896246644
2,0.6457657657657657,0.6786334008123157,0.9966126126126126,0.9906841811269078
3,0.648,0.6758577533369522,0.9973333333333333,0.9903418202785736
4,0.6410810810810811,0.6776125996945196,0.9971171171171171,0.9902697443105033
5,0.6521801801801802,0.6760605993098826,0.9973333333333333,0.9903238012865561
6,0.6455495495495496,0.6762482874533912,0.9969009009009009,0.9901436113663802
7,0.6496576576576577,0.6761925458786836,0.9971171171171171,0.9904859722147143
8,0.6504504504504505,0.6758276837811625,0.9968288288288288,0.9900174784222571
9,0.6411531531531531,0.6695580806166114,0.9972612612612612,0.9899454024541867
