,accuracy,auroc,optim_acc,optim_acc_train
0,0.652972972972973,0.6819025148450188,0.9983423423423423,0.992720327224895
1,0.6542702702702703,0.6840697958337802,0.9975495495495496,0.9929185361370885
2,0.6478558558558558,0.6824326565462459,0.9974054054054055,0.9932248590013875
3,0.6466306306306306,0.6795160204154425,0.9981261261261262,0.9929725931131412
4,0.6462702702702703,0.6794443664858499,0.9981981981981982,0.9926122132727895
5,0.6541261261261261,0.6794433323909167,0.9977657657657658,0.9929005171450709
6,0.6488648648648648,0.6806193025531795,0.9977657657657658,0.9927023082328774
7,0.6503063063063063,0.6812702509912623,0.9976936936936937,0.9930086310971764
8,0.6517477477477478,0.6805021313456714,0.997981981981982,0.9926662702488422
9,0.6442522522522522,0.6748525177698985,0.997981981981982,0.9927563652089302
