,50000.0
0,0.1384466932476721
1,0.13930255717509826
2,0.13901221426464322
3,0.14096817880799128
4,0.1377353834837998
5,0.1412436643823536
6,0.14201097610438543
7,0.14485021678454627
8,0.14281009309974999
9,0.14142312170621751
