,50000.0
0,0.9953214178431962
1,0.9952928807449685
2,0.9953296785821568
3,0.9952988885551216
4,0.9953191649143887
5,0.9952936317212376
6,0.9953311805346952
7,0.9952921297686993
8,0.9953319315109642
9,0.9952868729348152
