,50000.0
0,0.7448402996519006
1,0.7456231643641846
2,0.7448465175473677
3,0.7446902927039553
4,0.7450503094074723
5,0.7464452246353631
6,0.7463504518771159
7,0.745301489873516
8,0.7446773122028101
9,0.7446533174165448
