,accuracy,auroc,optim_acc,optim_acc_train
0,0.6641441441441441,0.702058409026459,0.9974774774774775,0.9903778582626088
1,0.6593873873873873,0.6987222221769975,0.9971171171171171,0.990413896246644
2,0.6596756756756756,0.6978900977089958,0.9966126126126126,0.9906841811269078
3,0.6607567567567567,0.6936695747748919,0.9973333333333333,0.9903418202785736
4,0.6528288288288289,0.6932073957653384,0.9971171171171171,0.9902697443105033
5,0.6551351351351351,0.6941551812686912,0.9973333333333333,0.9903238012865561
6,0.6538378378378379,0.693329385603261,0.9969009009009009,0.9901436113663802
7,0.6605405405405406,0.6963273061442198,0.9971171171171171,0.9904859722147143
8,0.6591711711711712,0.6946889746171003,0.9968288288288288,0.9900174784222571
9,0.6596756756756756,0.6980498432554344,0.9972612612612612,0.9899454024541867
