,0
0,-0.05250687154016265
1,-0.05188060649451953
2,-0.05155544166439879
3,-0.05333965487137515
4,-0.05278374290447557
5,-0.05101000774237768
6,-0.05264781566383431
7,-0.051881020850676585
8,-0.05278645483111477
9,-0.052786387385099776
